epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2001,1.34606,0.63328,1.34273,0.97604,0.98572,0.98117,0.59091,1.35095,0.68435,1.28654,0.000163399,0.000163399,0.0674837
2,52.9704,1.29451,0.62392,1.31096,0.96208,0.97743,0.96605,0.54285,1.53775,0.68961,1.39406,0.00032353,0.00032353,0.0343105
3,75.6544,1.30352,0.6037,1.33473,0.98348,0.99496,0.98812,0.58429,1.46178,0.59743,1.3426,0.000477061,0.000477061,0.00113066
4,98.2947,1.2623,0.58565,1.31088,0.98238,0.99455,0.98569,0.62395,1.34582,0.56208,1.30703,0.0004703,0.0004703,0.0004703
5,120.836,1.27846,0.5796,1.32593,0.9837,0.99521,0.98634,0.64813,1.28425,0.52647,1.25946,0.0004604,0.0004604,0.0004604
6,143.601,1.24988,0.59347,1.30827,0.982,0.99378,0.98549,0.57348,1.48065,0.65966,1.35915,0.0004505,0.0004505,0.0004505
7,166.211,1.29816,0.59117,1.33825,0.93927,0.95149,0.94188,0.51707,1.58882,0.67856,1.41512,0.0004406,0.0004406,0.0004406
8,188.701,1.25054,0.58447,1.3201,0.97895,0.99143,0.98428,0.59786,1.34656,0.60512,1.31986,0.0004307,0.0004307,0.0004307
9,211.235,1.2728,0.5795,1.31624,0.96643,0.97886,0.96736,0.55905,1.49089,0.61741,1.36123,0.0004208,0.0004208,0.0004208
10,234.109,1.26191,0.57067,1.31367,0.97781,0.98931,0.97902,0.59511,1.40586,0.5907,1.31729,0.0004109,0.0004109,0.0004109
11,259.487,1.26907,0.57768,1.3099,0.9805,0.99206,0.98228,0.56853,1.55911,0.59798,1.35413,0.000401,0.000401,0.000401
12,286.169,1.24861,0.56923,1.28962,0.96918,0.9799,0.96918,0.55573,1.52653,0.62162,1.38583,0.0003911,0.0003911,0.0003911
13,308.761,1.24566,0.56716,1.29928,0.97114,0.98206,0.97346,0.54957,1.58736,0.6162,1.37389,0.0003812,0.0003812,0.0003812
14,332.71,1.24654,0.56224,1.2969,0.97183,0.9879,0.97968,0.56972,1.54199,0.5974,1.37102,0.0003713,0.0003713,0.0003713
15,357.816,1.25845,0.57234,1.31351,0.9778,0.99213,0.98154,0.57496,1.49367,0.59732,1.33939,0.0003614,0.0003614,0.0003614
16,386.642,1.24834,0.56801,1.30836,0.97216,0.98424,0.97397,0.56492,1.51706,0.59035,1.34712,0.0003515,0.0003515,0.0003515
17,408.838,1.22916,0.55342,1.29164,0.97463,0.99079,0.97842,0.5722,1.47328,0.59243,1.34338,0.0003416,0.0003416,0.0003416
18,431.027,1.23487,0.56381,1.3015,0.97396,0.98309,0.97391,0.60079,1.40143,0.57514,1.32361,0.0003317,0.0003317,0.0003317
19,453.233,1.23378,0.5612,1.30351,0.97544,0.98496,0.97624,0.59848,1.38918,0.59354,1.31485,0.0003218,0.0003218,0.0003218
20,475.388,1.22808,0.55711,1.28613,0.97602,0.98656,0.97781,0.57104,1.50231,0.60238,1.36289,0.0003119,0.0003119,0.0003119
21,497.575,1.2323,0.55248,1.28409,0.97718,0.98675,0.97808,0.60591,1.41606,0.57732,1.30767,0.000302,0.000302,0.000302
22,520.193,1.24086,0.55485,1.28303,0.89691,0.91014,0.91822,0.50364,1.69241,0.71649,1.42548,0.0002921,0.0002921,0.0002921
23,542.887,1.24133,0.55811,1.28508,0.97811,0.98665,0.98065,0.62569,1.34994,0.55844,1.27859,0.0002822,0.0002822,0.0002822
24,565.571,1.212,0.54734,1.28492,0.97559,0.98554,0.98041,0.6026,1.4554,0.5668,1.32538,0.0002723,0.0002723,0.0002723
25,587.818,1.21309,0.53387,1.28417,0.96598,0.97824,0.97214,0.57269,1.5567,0.61267,1.3715,0.0002624,0.0002624,0.0002624
26,609.989,1.22724,0.54715,1.29019,0.95335,0.96643,0.95813,0.55194,1.59785,0.62627,1.40566,0.0002525,0.0002525,0.0002525
27,636.482,1.21536,0.543,1.275,0.97732,0.98965,0.98082,0.61633,1.3549,0.5441,1.29363,0.0002426,0.0002426,0.0002426
28,663.928,1.2125,0.5445,1.29069,0.96538,0.97931,0.96955,0.53465,1.64561,0.60872,1.41677,0.0002327,0.0002327,0.0002327
29,686.541,1.19595,0.53411,1.25793,0.96754,0.9833,0.97335,0.5567,1.5439,0.60769,1.36177,0.0002228,0.0002228,0.0002228
30,709.206,1.1933,0.52326,1.27478,0.96612,0.97731,0.96819,0.59162,1.44682,0.57101,1.32907,0.0002129,0.0002129,0.0002129
31,731.704,1.22978,0.53952,1.28332,0.96332,0.97311,0.96368,0.53805,1.67035,0.60029,1.42067,0.000203,0.000203,0.000203
32,754.118,1.20554,0.53106,1.26705,0.98175,0.99291,0.98269,0.60185,1.45794,0.55469,1.32805,0.0001931,0.0001931,0.0001931
33,776.669,1.21603,0.54489,1.29132,0.95107,0.96375,0.95282,0.5509,1.59873,0.60754,1.39237,0.0001832,0.0001832,0.0001832
34,799.099,1.21342,0.52823,1.27471,0.97334,0.98307,0.97418,0.58253,1.49857,0.58017,1.34678,0.0001733,0.0001733,0.0001733
35,822.209,1.21821,0.54097,1.28367,0.98095,0.98989,0.98372,0.626,1.35926,0.53121,1.28686,0.0001634,0.0001634,0.0001634
36,845.207,1.20902,0.53701,1.28207,0.9669,0.97761,0.97122,0.5537,1.58872,0.58366,1.39959,0.0001535,0.0001535,0.0001535
37,868.347,1.18656,0.52655,1.27048,0.97563,0.98598,0.97911,0.61132,1.39096,0.5545,1.31121,0.0001436,0.0001436,0.0001436
38,891.358,1.19385,0.51581,1.28987,0.97141,0.98191,0.97354,0.57465,1.53506,0.58808,1.35747,0.0001337,0.0001337,0.0001337
39,914.14,1.21152,0.52045,1.2775,0.97206,0.98346,0.97405,0.56631,1.57769,0.58463,1.38076,0.0001238,0.0001238,0.0001238
40,936.833,1.19517,0.52082,1.26992,0.96749,0.97672,0.97201,0.59921,1.4535,0.57161,1.33361,0.0001139,0.0001139,0.0001139
41,958.487,1.18923,0.48943,1.25717,0.94795,0.96766,0.95905,0.5623,1.51831,0.61985,1.37243,0.000104,0.000104,0.000104
42,980.24,1.1851,0.48062,1.25612,0.95235,0.97127,0.96162,0.55701,1.53885,0.602,1.38022,9.41e-05,9.41e-05,9.41e-05
43,1002.14,1.17777,0.47231,1.25234,0.96341,0.9801,0.97306,0.57345,1.49156,0.56699,1.35699,8.42e-05,8.42e-05,8.42e-05
44,1024.16,1.18711,0.46388,1.2718,0.96413,0.97779,0.97101,0.57172,1.48847,0.57068,1.35933,7.43e-05,7.43e-05,7.43e-05
45,1046.02,1.17543,0.46374,1.2509,0.95454,0.96269,0.95974,0.54454,1.57428,0.60322,1.40117,6.44e-05,6.44e-05,6.44e-05
46,1067.93,1.17549,0.46646,1.24191,0.95711,0.96766,0.96237,0.56033,1.53223,0.59772,1.38082,5.45e-05,5.45e-05,5.45e-05
47,1089.72,1.16456,0.46334,1.24081,0.96238,0.97806,0.96923,0.58462,1.45197,0.57541,1.34216,4.46e-05,4.46e-05,4.46e-05
48,1111.3,1.16293,0.46416,1.24432,0.96915,0.98441,0.97478,0.60441,1.39642,0.55476,1.31644,3.47e-05,3.47e-05,3.47e-05
49,1133.17,1.16774,0.46222,1.24682,0.96747,0.98097,0.97122,0.59875,1.4224,0.55748,1.33112,2.48e-05,2.48e-05,2.48e-05
50,1155.03,1.14584,0.45399,1.23529,0.9662,0.97791,0.96942,0.59119,1.44743,0.56491,1.34141,1.49e-05,1.49e-05,1.49e-05
