epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8553,1.30981,2.11574,1.32172,0.97286,0.98579,0.97925,0.55116,1.53892,1.84893,1.36316,0.000408497,0.000408497,0.000408497
2,23.0004,1.27885,2.00384,1.29119,0.97869,0.97352,0.98009,0.55193,1.50944,1.93006,1.31749,0.000808825,0.000808825,0.000808825
3,32.7985,1.30966,2.02103,1.32366,0.98383,0.99182,0.98568,0.56972,1.49779,1.90565,1.32961,0.00119265,0.00119265,0.00119265
4,42.4382,1.2528,1.90454,1.28649,0.97968,0.99078,0.98806,0.62274,1.27835,1.74049,1.21923,0.00117575,0.00117575,0.00117575
5,52.0736,1.28035,1.91969,1.30807,0.9696,0.95924,0.97834,0.65423,1.19655,1.88331,1.24037,0.001151,0.001151,0.001151
6,61.6097,1.24216,1.88775,1.28663,0.98502,0.99071,0.98722,0.58638,1.39164,1.82592,1.26923,0.00112625,0.00112625,0.00112625
7,71.0997,1.30769,2,1.3331,0.97492,0.99006,0.98561,0.62218,1.30467,1.76939,1.23917,0.0011015,0.0011015,0.0011015
8,80.6807,1.26556,1.96395,1.30518,0.98025,0.99254,0.9849,0.62343,1.2836,1.78168,1.24737,0.00107675,0.00107675,0.00107675
9,90.2142,1.27628,1.90995,1.30785,0.98267,0.99401,0.98739,0.61979,1.33286,1.70774,1.28368,0.001052,0.001052,0.001052
10,99.7311,1.29331,1.8886,1.31935,0.98516,0.99291,0.98805,0.6457,1.20817,1.63634,1.24051,0.00102725,0.00102725,0.00102725
11,109.369,1.27808,1.89771,1.30787,0.9654,0.98168,0.96631,0.50142,1.73308,2.11749,1.43485,0.0010025,0.0010025,0.0010025
12,119.721,1.26619,1.85898,1.3023,0.96848,0.96242,0.98068,0.60916,1.32982,1.91544,1.31982,0.00097775,0.00097775,0.00097775
13,130.064,1.27337,1.84736,1.32468,0.9753,0.97528,0.9819,0.57608,1.47923,1.85495,1.37931,0.000953,0.000953,0.000953
14,140.665,1.23455,1.79331,1.29042,0.96731,0.97702,0.97568,0.56699,1.51228,1.76711,1.33438,0.00092825,0.00092825,0.00092825
15,150.697,1.27155,1.83366,1.31501,0.97962,0.98455,0.98434,0.58252,1.46268,1.70836,1.35297,0.0009035,0.0009035,0.0009035
16,160.685,1.26715,1.87386,1.32198,0.98135,0.98767,0.98837,0.55098,1.51691,1.86918,1.40063,0.00087875,0.00087875,0.00087875
17,170.344,1.24174,1.75654,1.30316,0.9807,0.99046,0.98747,0.61944,1.37434,1.67522,1.32491,0.000854,0.000854,0.000854
18,179.929,1.23872,1.81051,1.29494,0.96978,0.98011,0.97435,0.58092,1.44422,1.75163,1.35821,0.00082925,0.00082925,0.00082925
