epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,699.901,1.31271,0.63929,1.31781,0.95916,0.97717,0.9675,0.49016,1.64079,0.76916,1.42622,0.0009035,0.0009035,0.0009035
44,712.364,1.3011,0.62556,1.31179,0.98513,0.99005,0.98565,0.55696,1.55616,0.632,1.3305,0.00089525,0.00089525,0.00089525
45,724.781,1.32023,0.63327,1.32373,0.98284,0.98015,0.98706,0.58099,1.44707,0.64305,1.34449,0.000887,0.000887,0.000887
46,736.773,1.32491,0.65997,1.32478,0.98572,0.99234,0.99178,0.56886,1.49101,0.6399,1.29001,0.00087875,0.00087875,0.00087875
47,748.675,1.27519,0.62449,1.29026,0.99171,0.98908,0.9908,0.56986,1.48683,0.64222,1.32605,0.0008705,0.0008705,0.0008705
48,760.848,1.30536,0.62099,1.31705,0.98773,0.98394,0.99021,0.59314,1.42465,0.64695,1.33754,0.00086225,0.00086225,0.00086225
49,772.926,1.32315,0.64548,1.34634,0.96765,0.97886,0.97328,0.5271,1.5869,0.65843,1.40238,0.000854,0.000854,0.000854
50,785.001,1.28936,0.6284,1.32137,0.98263,0.99254,0.98675,0.55161,1.53999,0.64202,1.34158,0.00084575,0.00084575,0.00084575
51,797.092,1.30896,0.62794,1.32573,0.99041,0.99072,0.9929,0.63492,1.27919,0.56944,1.27552,0.0008375,0.0008375,0.0008375
52,809.105,1.30016,0.61709,1.3359,0.992,0.99528,0.99241,0.68116,1.13901,0.52576,1.19531,0.00082925,0.00082925,0.00082925
53,821.515,1.31809,0.62103,1.32357,0.9799,0.98169,0.98086,0.58222,1.44303,0.63821,1.31056,0.000821,0.000821,0.000821
54,833.922,1.30042,0.62489,1.31032,0.98297,0.98508,0.98676,0.54994,1.56007,0.65394,1.34383,0.00081275,0.00081275,0.00081275
55,869.362,1.31005,0.62334,1.34289,0.99091,0.99153,0.99267,0.57903,1.46826,0.61366,1.34911,0.0008045,0.0008045,0.0008045
56,908.096,1.28583,0.60995,1.31553,0.9789,0.98709,0.98727,0.61808,1.30951,0.59549,1.26333,0.00079625,0.00079625,0.00079625
57,947.772,1.30476,0.61562,1.31842,0.99041,0.99039,0.99084,0.60729,1.37882,0.62869,1.28985,0.000788,0.000788,0.000788
58,986.488,1.2888,0.60978,1.30999,0.98806,0.98935,0.98872,0.613,1.3216,0.61215,1.28206,0.00077975,0.00077975,0.00077975
59,1024.19,1.30212,0.59603,1.32187,0.9857,0.99005,0.98668,0.59172,1.4076,0.61031,1.29545,0.0007715,0.0007715,0.0007715
60,1066.4,1.28836,0.62,1.33435,0.99177,0.9912,0.99199,0.62026,1.32187,0.61448,1.29222,0.00076325,0.00076325,0.00076325
61,1105.81,1.2456,0.59002,1.29835,0.97746,0.97712,0.98059,0.58999,1.42724,0.60751,1.29958,0.000755,0.000755,0.000755
62,1147.27,1.24362,0.58648,1.30022,0.97851,0.97946,0.98025,0.58978,1.42762,0.61308,1.31775,0.00074675,0.00074675,0.00074675
63,1187.24,1.27299,0.59191,1.29556,0.99101,0.99126,0.99204,0.67268,1.15474,0.54766,1.18261,0.0007385,0.0007385,0.0007385
64,1225.26,1.26456,0.58633,1.28223,0.98044,0.97977,0.98157,0.53537,1.56541,0.65243,1.33607,0.00073025,0.00073025,0.00073025
65,1260.81,1.26911,0.60051,1.29562,0.9901,0.9886,0.99007,0.59612,1.40528,0.59034,1.28903,0.000722,0.000722,0.000722
66,1300.18,1.25614,0.58145,1.30049,0.98208,0.982,0.98012,0.54468,1.59247,0.60815,1.39551,0.00071375,0.00071375,0.00071375
67,1345.25,1.2802,0.60932,1.32182,0.97729,0.99173,0.98927,0.60374,1.32788,0.65865,1.33228,0.0007055,0.0007055,0.0007055
68,1391.93,1.23116,0.58028,1.29089,0.97948,0.98939,0.98669,0.59303,1.42379,0.61363,1.29406,0.00069725,0.00069725,0.00069725
69,1435.26,1.23445,0.57213,1.28497,0.98315,0.98881,0.9891,0.63831,1.28718,0.55555,1.26129,0.000689,0.000689,0.000689
70,1477.47,1.29219,0.59066,1.31478,0.97305,0.97762,0.97974,0.56632,1.49335,0.63793,1.32983,0.00068075,0.00068075,0.00068075
71,1517.3,1.26631,0.5781,1.30639,0.98906,0.98627,0.98998,0.59845,1.42992,0.56413,1.3082,0.0006725,0.0006725,0.0006725
72,1563.54,1.27134,0.59104,1.3033,0.98522,0.99361,0.99194,0.63044,1.27172,0.59043,1.25866,0.00066425,0.00066425,0.00066425
73,1609.9,1.25526,0.59456,1.30542,0.97451,0.97082,0.98053,0.53978,1.61831,0.64984,1.42809,0.000656,0.000656,0.000656
74,1656.46,1.23427,0.5701,1.28772,0.9668,0.9674,0.97676,0.55312,1.57419,0.61234,1.36036,0.00064775,0.00064775,0.00064775
75,1701.94,1.25029,0.57155,1.31166,0.98724,0.98643,0.98687,0.63522,1.30976,0.54106,1.2977,0.0006395,0.0006395,0.0006395
76,1747.13,1.25696,0.57396,1.32088,0.98493,0.99221,0.99146,0.62443,1.27431,0.55594,1.26625,0.00063125,0.00063125,0.00063125
77,1788.36,1.24672,0.57955,1.31003,0.98514,0.98956,0.98692,0.59423,1.45012,0.5847,1.31681,0.000623,0.000623,0.000623
78,1835.96,1.25338,0.58008,1.31599,0.97818,0.98344,0.98655,0.6267,1.30455,0.55386,1.27611,0.00061475,0.00061475,0.00061475
79,1881.17,1.25817,0.56344,1.29019,0.98305,0.98367,0.98498,0.56035,1.5566,0.61602,1.33588,0.0006065,0.0006065,0.0006065
80,1894.66,1.24137,0.56418,1.28615,0.9545,0.96531,0.96067,0.515,1.67699,0.67204,1.40683,0.00059825,0.00059825,0.00059825
