epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3914,1.33821,1.91582,1.33981,0.98234,0.98821,0.98574,0.61632,1.31564,1.8529,1.28022,3.26797e-05,3.26797e-05,0.0673529
2,22.976,1.29066,1.84936,1.31548,0.9828,0.99481,0.98599,0.6052,1.37942,1.9373,1.33125,6.4706e-05,6.4706e-05,0.0340516
3,33.1694,1.29419,1.76654,1.33356,0.97977,0.99026,0.98308,0.57043,1.48985,1.81176,1.36226,9.54123e-05,9.54123e-05,0.000749007
4,43.3236,1.24651,1.7049,1.3101,0.97996,0.99005,0.98258,0.58251,1.45228,1.76758,1.35077,9.406e-05,9.406e-05,9.406e-05
5,53.2785,1.26723,1.68046,1.3139,0.98445,0.99436,0.98499,0.61316,1.37004,1.6856,1.3068,9.208e-05,9.208e-05,9.208e-05
6,63.3366,1.22375,1.72919,1.30044,0.97828,0.99107,0.98213,0.59825,1.44324,1.71346,1.32742,9.01e-05,9.01e-05,9.01e-05
7,73.357,1.29237,1.70006,1.33058,0.97542,0.98715,0.97891,0.56485,1.55174,1.78889,1.36753,8.812e-05,8.812e-05,8.812e-05
8,83.4511,1.24327,1.68179,1.29987,0.9746,0.98901,0.9783,0.58379,1.48111,1.80116,1.34493,8.614e-05,8.614e-05,8.614e-05
9,93.3839,1.25203,1.68501,1.30001,0.97084,0.98648,0.97606,0.57801,1.48116,1.83792,1.35261,8.416e-05,8.416e-05,8.416e-05
10,103.016,1.25459,1.66358,1.30212,0.96865,0.98457,0.97412,0.56519,1.51924,1.86761,1.37404,8.218e-05,8.218e-05,8.218e-05
11,112.602,1.2548,1.6947,1.30146,0.97002,0.98558,0.97787,0.58168,1.46961,1.8043,1.34464,8.02e-05,8.02e-05,8.02e-05
12,122.16,1.23286,1.67132,1.28749,0.9712,0.98749,0.97843,0.57135,1.5134,1.81284,1.3567,7.822e-05,7.822e-05,7.822e-05
13,131.751,1.24042,1.67186,1.28894,0.96638,0.9826,0.97416,0.55911,1.55889,1.81554,1.36851,7.624e-05,7.624e-05,7.624e-05
